Recency,Frequency,Monetary,Segment_Label,R_Next_3Months,Churn
6,12,4150.701125584415,2,1,2
43,4,696.8230797279097,0,1,2
1,11,3191.473809361687,2,1,2
59,8,1808.7440422581087,3,1,2
32,9,2392.049450150741,3,1,2
8,15,4365.079472338807,2,1,2
6,8,1893.1308348753787,3,0,0
52,5,1097.7052072961458,3,1,2
7,11,2740.5849194572274,2,1,2
107,3,886.5025621770089,0,1,1
121,4,1051.401352573832,3,1,1
79,8,2431.380988729647,3,1,2
91,2,182.91337680612241,0,0,3
38,6,1575.973937187058,3,1,2
21,4,1245.281704759043,3,0,0
4,6,1928.56037711535,3,1,2
57,5,1127.695355793016,3,1,2
89,1,63.9340415325911,0,1,2
85,2,424.0752795687072,0,1,2
45,5,1148.8449836785217,3,1,2
82,3,848.74623037859,0,0,0
22,14,4374.749186916932,2,1,2
15,11,3392.766695806578,2,1,2
24,12,2489.2410232740876,3,1,2
48,8,2388.961499137714,3,1,2
6,12,3115.2584236899897,2,1,2
34,6,1583.729843691177,3,1,2
88,2,460.366691792786,0,0,0
113,4,825.1534484827747,0,1,1
15,3,569.524743354658,3,0,0
58,13,3863.2399028754535,2,1,2
10,9,2436.247559553871,3,1,2
53,2,622.630961134113,0,0,0
49,12,3074.0623821035756,2,1,2
84,10,3266.357599563905,3,1,2
36,2,254.3388614623782,0,1,2
54,4,1276.946291967568,3,1,2
14,10,2715.247652792847,2,1,2
19,7,2155.4430980036764,3,1,2
55,15,4668.023773926928,1,1,2
37,5,1425.209778774142,3,1,2
40,11,3293.3769142641536,2,1,2
15,12,3136.799259852459,2,1,2
14,11,2873.4985329918295,2,1,2
34,10,2816.0874183621777,3,1,2
13,14,3186.7661385575047,2,1,2
21,13,3273.4609513929795,2,1,2
25,7,2485.187427946093,3,1,2
27,13,2938.2675355036918,2,1,2
7,8,2345.272131594444,3,1,2
26,7,1292.659152827891,3,1,2
11,14,4265.5950339397605,2,1,2
27,13,2778.42137235694,2,1,2
185,1,247.890266242188,0,1,1
21,13,3883.8303878528563,2,1,2
31,12,3910.7247267473936,2,1,2
25,10,2631.5070760431763,2,1,2
15,7,1411.3653790541216,3,1,2
19,17,4754.667404182015,4,1,2
117,3,592.274553127203,0,1,1
6,11,3417.4016887262214,2,1,2
127,1,91.9396166401225,0,0,3
11,7,1872.448155455587,3,1,2
0,12,2911.283774917824,2,1,2
178,3,600.0760727240028,0,0,3
78,3,1066.8704989486,3,1,2
